"","Transect","Date","AMPM","PendingLists","NoHabitatLists","NoWeatherLists","Camp","Lead"
"1","10b","2022-12-03","PM",0,2,4,"Marappalam","Hirash"
"2","10c","2022-12-03","AM",0,1,0,"Marappalam","Hirash"
"3","10c","2022-12-04","AM",0,1,0,"Marappalam","Hirash"
"4","11a","2022-12-04","AM",0,0,10,"Ommala","Sachin Krishna"
"5","11a","2022-12-04","PM",0,0,8,"Ommala","Sachin Krishna"
"6","12d","2022-12-04","AM",0,2,0,"Sholayur","Raju Kidoor"
"7","13b","2022-12-03","AM",0,1,1,"Moolagangal","Praveen/Rameez"
"8","13b","2022-12-04","PM",0,0,1,"Moolagangal","Praveen/Rameez"
"9","3d","2022-12-03","AM",0,1,0,"Anavayi","Nishad"
"10","3d","2022-12-03","PM",0,9,9,"Anavayi","Nishad"
"11","4a","2022-12-03","AM",0,1,0,"Edavani","Nishad"
"12","4b","2022-12-04","AM",0,0,3,"Pudur","Arun Aswathy"
"13","4c","2022-12-03","AM",0,2,0,"Thazhe Bhoodayar","Gopalji"
"14","4c","2022-12-03","PM",0,1,0,"Thazhe Bhoodayar","Gopalji"
"15","5b","2022-12-03","PM",0,0,6,"Pudur","KK Iyer"
"16","5c","2022-12-04","PM",0,2,0,"Bommayampadi","Thrinisha"
"17","5d","2022-12-03","AM",0,4,3,"Bommayampadi","Dr Vivek"
"18","7b","2022-12-04","AM",0,9,9,"Anavayi","Coordinator"
"19","7b","2022-12-04","PM",0,9,9,"Anavayi","Coordinator"
"20","8a","2022-12-03","AM",0,1,0,"Mukkali","Raveendran/Karthik"
"21","8d","2022-12-04","PM",0,4,0,"Ponni Bungalow","Reji Chandran"
"22","9a","2022-12-04","AM",0,1,1,"Nellippathy","Gireesan TU"
"23","9b","2022-12-03","AM",0,1,1,"Nellippathy","Vishnu"
